Method,Type,Precision,False_Positives,FP_Rate_Percent,Threshold
Simple_prediction_variance,Simple,0.5,1,0.24937655860349126,1.7473073922849633e-05
Simple_local_concentration,Simple,0.5,1,0.24937655860349126,0.2940894664333893
Simple_max_prob,Simple,0.3333333333333333,2,0.4987531172069825,0.0190528464572263
Simple_entropy,Simple,0.3333333333333333,2,0.4987531172069825,4.950392722983496
ML_SVM_RBF,ML,0.005555555555555556,222,55.36159600997507,0.0015156642761358697
Simple_peak_sharpness,Simple,0.0035587188612099642,280,69.82543640897757,1.045134425263269
ML_XGBoost,ML,0.0025252525252525255,6,1.4962593516209477,3.430297672591215e-10
ML_RandomForest,ML,0.002512562814070352,4,0.997506234413965,0.0850000001
ML_LogisticRegression,ML,0.002512562814070352,4,0.997506234413965,0.17281633078186767
ML_NeuralNet,ML,0.002512562814070352,4,0.997506234413965,0.14229178700107853
