Method,Type,Threshold,Precision,Recall,True_Positives,False_Positives,False_Positive_Rate_Percent,Failures_Caught,Total_Failures,Failures_Missed
Simple_prediction_variance,Simple,6.728238618158027e-05,0.4,1.0,38,57,15.659340659340659,38,38,0
Simple_max_prob,Simple,0.0447124504552913,0.38,1.0,38,62,17.032967032967033,38,38,0
Simple_entropy,Simple,3.8952698706580566,0.36893203883495146,1.0,38,65,17.857142857142858,38,38,0
Simple_local_concentration,Simple,0.690045178036554,0.36538461538461536,1.0,38,66,18.13186813186813,38,38,0
ML_XGBoost,ML,0.9982714540216999,0.09476309226932668,1.0,38,363,99.72527472527473,38,38,0
Simple_peak_sharpness,Simple,1.1660417319344116,0.0945273631840796,1.0,38,364,100.0,38,38,0
ML_SVM_RBF,ML,0.9838086301968072,0.0945273631840796,1.0,38,364,100.0,38,38,0
ML_RandomForest,ML,0.9988636364636363,0.0945273631840796,1.0,38,364,100.0,38,38,0
ML_LogisticRegression,ML,0.9452375008584547,0.0945273631840796,1.0,38,364,100.0,38,38,0
ML_NeuralNet,ML,0.932965348784215,0.0945273631840796,1.0,38,364,100.0,38,38,0
