combination_id,run_time_sec,phase,is_full_dataset,n_dft_bins,n_avg_samples,srp_grid_cells,freq_min,freq_max,mae,median_error,p95_error,n_samples,success_rate
0,619.3397800922394,1,False,32768,1,360,200,3000,23.724514797755578,6.469703712054198,95.18099578025745,100,1.0
1,632.678956747055,1,False,32768,1,360,200,4000,23.351192089974514,5.499999999999972,98.81301897066007,100,1.0
2,609.6948349475861,1,False,32768,1,360,300,3000,26.706247426469513,6.50069008314351,95.76301897066007,100,1.0
3,654.4112420082092,1,False,32768,1,360,300,4000,21.512330718866522,4.499999999999972,96.18965519663725,100,1.0
4,620.3495597839355,1,False,32768,5,360,200,3000,23.724514797755578,6.469703712054198,95.18099578025745,100,1.0
5,618.3615610599518,1,False,32768,5,360,200,4000,23.351192089974514,5.499999999999972,98.81301897066007,100,1.0
6,684.1076052188873,1,False,32768,5,360,300,3000,26.706247426469513,6.50069008314351,95.76301897066007,100,1.0
7,41672.13140797615,1,False,32768,5,360,300,4000,21.512330718866522,4.499999999999972,96.18965519663725,100,1.0
8,36002.960648059845,1,False,32768,10,360,200,3000,23.724514797755578,6.469703712054198,95.18099578025745,100,1.0
9,35919.192220926285,1,False,32768,10,360,200,4000,23.351192089974514,5.499999999999972,98.81301897066007,100,1.0
